Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Full Description,Industries,Headquarters Location,Description,CB Rank (Company)
BioCatch,https://www.crunchbase.com/organization/biocatch,2011-01-01,year,"BioCatch is the leader in Behavioral Biometrics which analyzes an online user’s physical and cognitive digital behavior to protect individuals and their assets. Our mission is to unlock the power of behavior and deliver actionable insights to create a digital world where identity, trust and ease seamlessly co-exist. Leading financial institutions around the globe use BioCatch to more effectively fight fraud, drive digital transformation and accelerate business growth. With over a decade of analyzing data, over 60 patents and unparalleled experience, BioCatch continues to innovate to solve tomorrow’s problems. For more information, please visit www.biocatch.com","Analytics, Cyber Security, FinTech, Fraud Detection, Network Security","Tel Aviv, Tel Aviv, Israel","BioCatch unlocks the power of behavior and deliver actionable insights to create a digital world where identity, trust, and ease co-exist.","1,164"
TechSee,https://www.crunchbase.com/organization/techsee,2015-01-01,year,"TechSee is a technology and technical support company that specializes in visual technology and augmented reality. The company’s technology combines AI with deep machine learning, proprietary algorithms, and big data to deliver a scalable cognitive system that becomes smarter with every customer support interaction. It offers a smart visual interactive platform that enables its users to interact with their customer through a live virtual channel and guide them using augmented reality and annotations. TechSee was founded by Eitan Cohen, Amir Yoffe, and Gabby Sarussi in 2015 and is headquartered in Tel Aviv, Israel.","Artificial Intelligence (AI), Augmented Reality, Communications Infrastructure, Computer Vision, Mobile, Software, Virtualization","Herzliya, Tel Aviv, Israel",TechSee builds smart visual platforms that enable service providers to interact with the customer via a live virtual channel.,"7,320"
Cortica,https://www.crunchbase.com/organization/cortica,2007-01-01,year,"Cortica is an Israeli company founded in 2007 with leading AI technology for visual perception. Its unique self-learning technology, backed by more than 200 patents, allows Cortica to develop multiple products that can read and understand images on a human level­–thereby significantly exceeding the capabilities of the major tech companies.  Cortica is the first AI company capable of human-level image understanding. Even the most advanced technology has never been able to understand the visual world as well as people do - until now. By leveraging proprietary brain research to create unsupervised AI, Cortica has developed the most effective computer vision system.  This technology, based upon the mammal cortex is utilized to build products impacting many industries. The company’s mission is to lead the emerging AI market with a strong focus on computer vision and establish its ""universal visual index of the world"" as the global standard­­–enabling machines to read and understand images. Cortica's vision is to embed its capabilities in all next-generation platforms where understanding images is a critical task. This includes autonomous vehicles, smart city applications, security cameras, drones, media, robotics, and medical image analysis. Cortica's headquarters and R&D center are based in Israel employing over 80 leading AI researchers and veterans of elite Israeli military intelligence units.","Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Computer Vision, Machine Learning, Security","Tel Aviv, Tel Aviv, Israel",Cortica is a technology company developing AI capable of learning and reacting on its own.,"7,812"
BlueWind Medical,https://www.crunchbase.com/organization/bluewind-medical,2010-01-01,year,BlueWind Medical develops and markets a wireless neurostimulation device for the treatment of peripheral neuropathic pain (PNP).,"Biotechnology, Health Care, Medical, Medical Device","Herzliya, Tel Aviv, Israel",BlueWind Medical is an innovative wireless neuro-stimulation device for the treatment of peripheral neuropathic pain,"12,663"
Wearable Devices,https://www.crunchbase.com/organization/wearable-devices-ltd,2014-03-13,day,"Wearable Devices Ltd. (NASDAQ: WLDS) is a growth company developing a non-invasive neural input interface technology in the form of a wrist wearable band for controlling digital devices using subtle finger movements. Our company’s vision is to create a world in which the user’s hand becomes a universal input device for touchlessly interacting with technology, and we believe that our technology is setting the standard input interface for the Metaverse. Since our technology was introduced to the market, we have been working with both Business-to-Business and Business-to-Consumer customers as part of our push-pull strategy. Combining our own proprietary sensors and Artificial Intelligence, or AI, algorithms into a stylish wristband, our Mudra platform enables users to control digital devices through subtle finger movements and hand gestures, without physical touch or contact.","Artificial Intelligence (AI), Augmented Reality, Health Care, Human Computer Interaction, Machine Learning, Metaverse, Software, Virtual Reality, Wearables","Yoqne`am `illit, HaZafon, Israel","Developing Mudra, a Brain-Computer Interface  wristband that uses neural impulses as input to control digital devices","18,163"
Brainsway,https://www.crunchbase.com/organization/brainsway,2003-01-01,year,"Brainsway's patented breakthrough technology launches a new era in brain disorder treatment. A non-invasive, yet highly effective solution, Brainsway can make a difference in the wellbeing and health of millions of patients worldwide. Brainsway's technology releases millions of patients from a bleak cycle of insufficiently effective treatments and unpleasant side effects. Brainsway's treatment was approved by the FDA for Major Depressive Disorder patients*. The technology is also safe, with no systemic effects or long-term side effects, and highly convenient, requiring only brief daily sessions over a couple of weeks. Brainsway's technology has already been applied in thousands of cases worldwide in the framework of clinical studies. It has also been enthusiastically embraced by leading research institutions worldwide, with over 60 clinical trials performed. Brainsway technology is based on a patent registered by the U.S. National Institutes of Health (NIH). Brainsway is dedicated to research and continuously explores treatments for a variety of brain disorders.","Biotechnology, Health Care, Life Science","Jerusalem, Yerushalayim, Israel",Brainsway's patented breakthrough technology launches a new era in brain disorder treatment.,"18,888"
MyndYou,https://www.crunchbase.com/organization/myndyou,2016-01-01,year,"The MyndYou artificial intelligence (AI) based platform aids clinicians in providing personalized cognitive care for seniors living with or without cognitive decline. The MyndYou solution combines one-on-one remote interaction with a seamless monitoring app, analytic evaluation, and AI analysis to individualize care based on passively collected data from the client’s daily activities. The platform delivers actionable, objective insights in real-time to therapists during remote calls, guiding the nature and level of cognitive training.  As cognitive related disease such as dementia and Alzheimer’s continues to grow at a rapid pace, MyndYou optimizes and scales the targeted delivery of cognitive care.  ","Artificial Intelligence (AI), Elder Care, Health Care, Home Health Care, mHealth, Neuroscience","Herzliya, Tel Aviv, Israel",MyndYou is an  AI-based platform that empowers practitioners to deliver personalized and data-driven cognitive care to seniors.,"22,755"
Moodify,https://www.crunchbase.com/organization/moodify,2017-01-01,year,"Moodify transforms the way scents are made to make better, more effective and sustainable consumer products, making the design and manufacturing faster, more scalable, accurate, cost effective and compliant. This, by harnessing 15 years of neuroscience research by the Weizmann Institute, together with cutting edge bioinformatics machine learning technologies.","Artificial Intelligence (AI), Consumer Goods, Machine Learning, Manufacturing","Kefar Sava, HaMerkaz, Israel",Transforming the way scents are made by developing Scent AI technology & solutions for the digitization of scent design,"24,424"
BrainQ,https://www.crunchbase.com/organization/brainq,2016-01-01,year,"BrainQ develops a platform for precision neurology therapies to treat the impaired brain using a BCI-based approach. The company was founded in 2016 and is headquartered in Jerusalem, Yerushalayim, Israel.","Health Care, Medical, Medical Device","Jerusalem, Yerushalayim, Israel",BrainQ develops a platform for precision neurology therapies to treat the impaired brain using a BCI-based approach.,"25,363"
Myndlift,https://www.crunchbase.com/organization/myndlift,2014-01-01,year,"Myndlift combines neurotechnology, behavioral psychology and human care to offer a better mental care solution. Used by 10's of thousands of individuals through hundreds of mental health providers, it has positioned itself as the leading solution combining EEG brain metrics and behavioral health.","Health Care, Medical, Neuroscience, Software","Tel Aviv, Tel Aviv, Israel","Myndlift offers digital, comprehensive mental care and empowers clinicians worldwide.","26,794"
GrayMatters Health,https://www.crunchbase.com/organization/graymatters-health,2019-09-01,month,GrayMatters Health delivers beyond the pill digital therapeutics for mental disorders through self-neuromodulation of brain processes.,"Health Care, Medical Device","Haifa, Hefa, Israel",GrayMatters Health delivers beyond the pill digital therapeutics for mental disorders through volitional regulation of brain processes.,"30,336"
Alpha Omega,https://www.crunchbase.com/organization/alpha-omega,1993-01-01,year,"Alpha Omega is a global company, offering a plethora of pioneering products, along with consistent innovation and uncompromising quality and service. Alpha Omega is committed to Improving the quality of patient care in the areas of neurology and neurosurgery by developing superior technological solutions.","Information Technology, Neuroscience, Therapeutics","Nazareth, HaZafon, Israel",Defining Neuroscience Technology,"30,706"
Aviv Scientific,https://www.crunchbase.com/organization/aviv-scientific,2017-01-01,year,"Aviv Scientific is a leader in the longevity field, focusing on age-related cognitive and functional decline and novel applications of hyperbaric oxygen therapy (HBOT) to maximize human performance. Based on an exclusive partnership with the world’s largest hyperbaric medicine research facility, the Sagol Center at Shamir Medical Center in Israel, Aviv Scientific is introducing a global network of clinics delivering the most effective intervention available today for treating the aging process – The Aviv Medical Program. The three-month regimen has been proven to improve cognitive and physical performance in aging adults. For the first time, in depth comprehensive OMICS data detailing the aging process in healthy adults will be captured, expediting the development of therapeutics and approaches to notably extend healthspan, and ultimately lifespan, in humans.","Health Care, Medical","Tel Aviv, Tel Aviv, Israel","Aviv Scientific is a leader in the longevity field, focusing on the treatment and research of age-related cognitive and functional decline .","36,287"
