Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
Video-inform,https://finder.startupnationcentral.org/company_page/video-inform,Cognitive Vision Solutions,"Enterprise, IT & Data Infrastructure",2007,1-10,Mature
Global Effective Education,https://finder.startupnationcentral.org/company_page/global-effective-education,"STEM Totally Portable LabLess Lab + PATENT PENDING App for """"English Speaking Digital Teacher Assistant",Content & Media,2015,1-10,Pre-Funding
IntelliGym Labs,https://finder.startupnationcentral.org/company_page/intelligym-labs,Cognitive Training Software for Athletes ,Life Sciences & HealthTech,2003,1-10,Mature
Cognishine Therapy and Education,https://finder.startupnationcentral.org/company_page/cognishine-therapy-and-education,Resource Platform for Therapy and Education,Content & Media,2019,1-10,Pre-Funding
BestBrain,https://finder.startupnationcentral.org/company_page/bestbrain,Cognitive Self-care Solutions,Life Sciences & HealthTech,2016,1-10,Seed
MemoApp,https://finder.startupnationcentral.org/company_page/memoapp,Alzheimer's Disease and Dementia Home Care Technology,Life Sciences & HealthTech,2020,1-10,Pre-Funding
Aviv Scientific,https://finder.startupnationcentral.org/company_page/aviv-scientific,Cognitive and Functional Decline Treatment Solutions,Life Sciences & HealthTech,2017,51-200,B
eMazeLabs,https://finder.startupnationcentral.org/company_page/emazelabs,SaaS Platform for At-home Cognitive Therapy,Life Sciences & HealthTech,2021,1-10,Pre-Funding
TABI Learning Technologies,https://finder.startupnationcentral.org/company_page/tabi-learning-technologies-ltd,Personalized Digital Learning Platform for Students with Learning Disabilities,Content & Media,2021,1-10,Pre-Seed
VActive - Digital Training Experience,https://finder.startupnationcentral.org/company_page/vactive-digital-training-experience,Digital Training Software for Fall Prevention,Life Sciences & HealthTech,2017,1-10,Pre-Funding
MemoBoost,https://finder.startupnationcentral.org/company_page/memoboost,Drug Treatment to Inhibit Dementia,Life Sciences & HealthTech,2016,1-10,Seed
Keotic Networks,https://finder.startupnationcentral.org/company_page/keotic-networks,AI for Autonomous Knowledge Management,"Enterprise, IT & Data Infrastructure",2015,1-10,Pre-Funding
Shomerosh,https://finder.startupnationcentral.org/company_page/clara-mind,App for Detecting Preclinical Alzheimers Disease,Life Sciences & HealthTech,2016,1-10,Pre-Funding
Gofer Technologies,https://finder.startupnationcentral.org/company_page/gofer-technologies,Desktop Search Solution,"Enterprise, IT & Data Infrastructure",2016,1-10,Pre-Funding
NeuroIndex,https://finder.startupnationcentral.org/company_page/neuroindex,EEG for Preventing Brain Injury During Anesthesia,Life Sciences & HealthTech,2017,1-10,Pre-Seed
Moodify,https://finder.startupnationcentral.org/company_page/moodify,Software-defined Scents,Life Sciences & HealthTech,2017,11-50,A
