Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
SynCath NeuroScience,https://finder.startupnationcentral.org/company_page/syncath-neuroscience,Cerebral Assist Device for Neurointensive Care,Life Sciences & HealthTech,2018,1-10,Seed
Firefly Neuroscience,https://finder.startupnationcentral.org/company_page/elminda,Measuring Brain Health,Life Sciences & HealthTech,2006,11-50,E
QuantalX NeuroScience,https://finder.startupnationcentral.org/company_page/nibs-neuroscience-technologies,Direct Functional Brain Imaging,Life Sciences & HealthTech,2014,1-10,Pre-Funding
CellCure Neurosciences,https://finder.startupnationcentral.org/company_page/cell-cure-neurosciences,Cell Therapies for Neural Degenerative Diseases,Life Sciences & HealthTech,2005,11-50,Seed
Coronis Neurosciences,https://finder.startupnationcentral.org/company_page/coronis-neurosciences,Neurocognitive and Neurodegenerative Therapies,Life Sciences & HealthTech,2014,1-10,Seed
NurExone Biologic,https://finder.startupnationcentral.org/company_page/nurexone-biologic,EV-based Drug Platform to Treat Damage in the Central Nerve System ,Life Sciences & HealthTech,2020,11-50,Public
X-trodes,https://finder.startupnationcentral.org/company_page/x-trodes1,Advanced Monitoring and Analysis of Biopotential Signals,Life Sciences & HealthTech,2019,11-50,Seed
Neurogait,https://finder.startupnationcentral.org/company_page/neurogait,Diagnosing Dementia Using Artificial Intelligence,Life Sciences & HealthTech,2019,1-10,Seed
BrainBalance,https://finder.startupnationcentral.org/company_page/brainbalance,Minimally Invasive Device for the Treatment of Alzheimer's Disease,Life Sciences & HealthTech,2016,1-10,Pre-Funding
Effectivate,https://finder.startupnationcentral.org/company_page/effectivate,AI-based Computerized Cognitive Training for Older Adults,Life Sciences & HealthTech,2018,11-50,Seed
NeuroAudit,https://finder.startupnationcentral.org/company_page/neuroaudit,Neuromodulation Protocols for Personalized Brain Disease Treatment,Life Sciences & HealthTech,2016,1-10,Seed
Epeius Pharma,https://finder.startupnationcentral.org/company_page/epeius-pharma,Delivery of Therapeutic Proteins into the Central Nervous System,Life Sciences & HealthTech,2019,1-10,Seed
Mindtension,https://finder.startupnationcentral.org/company_page/mindtension,Rapid Diagnostic Platform for Measuring ADHD,Life Sciences & HealthTech,2020,1-10,Pre-Seed
GrayMatters Health,https://finder.startupnationcentral.org/company_page/graymatters-health,Digital Therapy for Mental Health,Life Sciences & HealthTech,2018,11-50,A
Corsight,https://finder.startupnationcentral.org/company_page/corsight,Facial Recognition Technology,Security Technologies,2019,11-50,Seed
SmellTracker,https://finder.startupnationcentral.org/company_page/smelltracker,Online Platform for Self-monitoring Sense of Smell,Life Sciences & HealthTech,2020,1-10,Pre-Funding
i-BrainTech,https://finder.startupnationcentral.org/company_page/i-braintech,Neuro Sports Training Platform,Life Sciences & HealthTech,2019,11-50,Seed
LuSeed Vascular,https://finder.startupnationcentral.org/company_page/luseed-vascular,Vascular Remodeling Device,Life Sciences & HealthTech,2017,1-10,Seed
N.T.W Power Boost,https://finder.startupnationcentral.org/company_page/n-t-w-power-boost,EEG-based Diagnostic System for Eating Behaviors,Life Sciences & HealthTech,2019,1-10,Pre-Funding
CorrActions,https://finder.startupnationcentral.org/company_page/corractions,Noninvasive Driver-monitoring Platform,Smart Mobility,2019,11-50,A
