Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
="Edgify",="https://finder.startupnationcentral.org/company_page/pixoneye",="Collaborative AI Model-training Platforms for Edge Devices","Enterprise, IT & Data Infrastructure",="2014",="11-50",="Seed",
="FOTONICA",="https://finder.startupnationcentral.org/company_page/florafotonica",="Energy-saving Light Systems for Plants",="AgriFood-tech & Water",="2013",="1-10",="Mature",
="ProTrack",="https://finder.startupnationcentral.org/company_page/protrack",="Computer Vision and Video Analytics Software ",="Security Technologies",="1998",="1-10",="Mature",
="CB4 Analytics",="https://finder.startupnationcentral.org/company_page/c-b4",="Predictive Sales Analytics","Enterprise, IT & Data Infrastructure",="2007",="51-200",="Acquired",
="Paygilant",="https://finder.startupnationcentral.org/company_page/offla",="Frictionless Fraud Prevention and Detection for Digital Banking",="FinTech",="2015",="11-50",="A",
="imonomy",="https://finder.startupnationcentral.org/company_page/imonomy",="In-image Advertising Platform",="Retail & Marketing",="2011",="11-50",="Mature",
="Babylon Software",="https://finder.startupnationcentral.org/company_page/babylon",="Solutions for Translation and Language Learning","Enterprise, IT & Data Infrastructure",="1997",="1-10",="Mature",
="NetSpark",="https://finder.startupnationcentral.org/company_page/netspark",="Web Filtering Solutions",="Security Technologies",="2008",="51-200",="Mature",
="GuruShots",="https://finder.startupnationcentral.org/company_page/gurushots",="Online Mobile Platform for Photographers",="Content & Media",="2013",="51-200",="Acquired",
="CharacTell",="https://finder.startupnationcentral.org/company_page/charactell",="Advanced OCR Solutions","Enterprise, IT & Data Infrastructure",="1998",="1-10",="Mature",
="Syte",="https://finder.startupnationcentral.org/company_page/syte",="Visual AI Platform for Retail",="Retail & Marketing",="2015",="51-200",="C",
="ThirdEye Systems",="https://finder.startupnationcentral.org/company_page/thirdeye-systems",="Autonomous Drone Security Solutions",="Security Technologies",="2010",="11-50",="Public",
="TalkSense",="https://finder.startupnationcentral.org/company_page/talksense",="Outsmarting bureaucracy by getting big enterprises to really talk! Turning complex reports and tiring forms data entry to all stakeholders to easy to use as telling your phone to call someone.","Enterprise, IT & Data Infrastructure",="2014",="1-10",="Pre-Funding",
="RTC Vision",="https://finder.startupnationcentral.org/company_page/rtc-vision",="Computer Vision and Imaging Technologies","Enterprise, IT & Data Infrastructure",="2005",="11-50",="Mature",
="BriefCam",="https://finder.startupnationcentral.org/company_page/briefcam",="Video Surveillance",="Security Technologies",="2007",="51-200",="Acquired",
="Home Skinovations",="https://finder.startupnationcentral.org/company_page/home-skinovations",="Professional Aesthetic Devices for Home Use",="Life Sciences & HealthTech",="2006",="51-200",="Mature",
="GalaPro App",="https://finder.startupnationcentral.org/company_page/galaprompter",="Accessibility and Translation Solutions for Live Shows",="Content & Media",="2015",="11-50",="Acquired",
="Unispectral",="https://finder.startupnationcentral.org/company_page/unispectral",="Hyperspectral Imaging Platform",="Industrial Technologies",="2014",="11-50",="A",
="Oosto",="https://finder.startupnationcentral.org/company_page/oosto",="Visual Intelligence Solutions",="Security Technologies",="2015",="201-500",="C",
="IdentyTech Solutions",="https://finder.startupnationcentral.org/company_page/identytech",="Biometric Identity Management Solutions",="Security Technologies",="2010",="11-50",="Mature",
="Facetrom",="https://finder.startupnationcentral.org/company_page/facetrom",="Banking Services for the Financially Underserved",="FinTech",="2015",="11-50",="Pre-Funding",
="Media Forest",="https://finder.startupnationcentral.org/company_page/media-forest",="Airplay Monitoring System",="Content & Media",="2005",="1-10",="Mature",
="Nemesysco",="https://finder.startupnationcentral.org/company_page/nemesysco",="Voice Analysis for Human Emotion Detection",="Security Technologies",="2000",="11-50",="Mature",
="Orbograph",="https://finder.startupnationcentral.org/company_page/orbograph",="AI-powered Check Processing",="FinTech",="1995",="51-200",="Acquired",
="AnyClip",="https://finder.startupnationcentral.org/company_page/anyclip",="Visual Intelligence",="Retail & Marketing",="2006",="51-200",="C",
="Cortica",="https://finder.startupnationcentral.org/company_page/cortica",="Autonomous AI Model Developer",="Smart Mobility",="2007",="51-200",="Mature",
="Trax Retail",="https://finder.startupnationcentral.org/company_page/trax-retail",="Cloud-based Retail Management Solutions","Enterprise, IT & Data Infrastructure",="2010",="500+",="E",
="PointGrab",="https://finder.startupnationcentral.org/company_page/pointgrab",="Sensing Technology for Workspace Analytics",="FinTech",="2008",="11-50",="Mature",
="IsItYou",="https://finder.startupnationcentral.org/company_page/isityou",="Biometric Fraud Prevention",="Security Technologies",="2012",="1-10",="Mature",
="Somatix",="https://finder.startupnationcentral.org/company_page/somatix",="Remote Patient-monitoring Software Solution",="Life Sciences & HealthTech",="2015",="11-50",="A",
="Rubidium",="https://finder.startupnationcentral.org/company_page/rubidium",="Voice-based User Interface Developer",="Industrial Technologies",="1995",="11-50",="Mature",
="Face-Six",="https://finder.startupnationcentral.org/company_page/face-six",="Customized Facial Recognition and Demographic Analytics",="Security Technologies",="2012",="11-50",="Mature",
="InnerEye",="https://finder.startupnationcentral.org/company_page/innereye",="Real-time Visual Target Detection",="Security Technologies",="2013",="11-50",="Seed",
="ZEROBILLBANK",="https://finder.startupnationcentral.org/company_page/zerobillbank",="White-label Banking System",="FinTech",="2015",="1-10",="Mature",
="EyeCue Vision Technologies",="https://finder.startupnationcentral.org/company_page/eyecue",="SmartVision Integration in Toys and Games",="Content & Media",="2007",="1-10",="Mature",
="GeoSpotX",="https://finder.startupnationcentral.org/company_page/geospotx",="Geographic Information Systems",="Smart Mobility",="2010",="1-10",="Mature",
="Toky",="https://finder.startupnationcentral.org/company_page/toky",="Wearable Device for Interactive Toys",="Content & Media",="2015",="1-10",="Mature",
="Supersmart",="https://finder.startupnationcentral.org/company_page/supersmart",="AI-powered Autonomous Checkout for Brick-and-mortar Retailers",="Retail & Marketing",="2015",="11-50",="B",
="Verifyoo",="https://finder.startupnationcentral.org/company_page/verifyoo",="Biometric Authentication",="Security Technologies",="2015",="1-10",="Seed",
="PAYOSU",="https://finder.startupnationcentral.org/company_page/vala",="Invoicing and Payment Solution for Freelancers",="FinTech",="2016",="51-200",="Pre-Funding",
="Conflu3nce",="https://finder.startupnationcentral.org/company_page/conflu3nce",="Personalized Solution for Detecting Cognitive Health Changes",="Life Sciences & HealthTech",="2016",="1-10",="Pre-Seed",
="El-Far Electronics",="https://finder.startupnationcentral.org/company_page/el-far-electronics",="Perimeter Security Systems",="Security Technologies",="2000",="11-50",="Mature",
