Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
="VIVID",="https://finder.startupnationcentral.org/company_page/vivid",="Creator economy platform for personal growth experts",="Learning Content & Resources",="2022",="1-10",="Pre-Seed",
="Topicx",="https://finder.startupnationcentral.org/company_page/topicx",="Conversational AI Chatbot for Businesses",="eCommerce & Sales",="2020",="1-10",="Pre-Funding",
="Motiv8 Technologies",="https://finder.startupnationcentral.org/company_page/motiv8-technologies",="Psychology-driven AI Behavioral Prediction Platform","Enterprise, IT & Data Infrastructure",="2020",="11-50",="Pre-Funding",
="Feel Right",="https://finder.startupnationcentral.org/company_page/feel-right",="Digital Health Fitness Coach",="Life Sciences & HealthTech",="2019",="1-10",="Pre-Funding",
="Platera.ai",="https://finder.startupnationcentral.org/company_page/platera-ai",="Psychology-based AI Platform for Online Businesses",="Retail & Marketing",="2020",="1-10",="Pre-Seed",
="The Perspective",="https://finder.startupnationcentral.org/company_page/the-perspective",="There are at least two sides to every story ",="",="2017",="1-10",="Pre-Funding",
="Louie7.AI",="https://finder.startupnationcentral.org/company_page/louie7-ai",="Customer Behavior Analysis",="Retail & Marketing",="2021",="1-10",="Pre-Seed",
="Finq",="https://finder.startupnationcentral.org/company_page/finq","AI-based Digital Marketplace for Investment, Pension, and Insurance Products",="FinTech",="2018",="11-50",="Seed",
="Insight Sparks",="https://finder.startupnationcentral.org/company_page/insight-sparks",="Pedagogical Game Development",="Content & Media",="2014",="1-10",="Pre-Funding",
="Tipulog",="https://finder.startupnationcentral.org/company_page/tipulog",="Online Note Management System",="Life Sciences & HealthTech",="2009",="1-10",="Mature",
="Scoompa",="https://finder.startupnationcentral.org/company_page/scoompa",="Mobile App Developer",="Content & Media",="2011",="1-10",="Mature",
="Askimo",="https://finder.startupnationcentral.org/company_page/askimo",="Broadcasting Expert Knowledge",="Retail & Marketing",="2010",="1-10",="Mature",
="PureSight",="https://finder.startupnationcentral.org/company_page/puresight",="Digital Parenting Toolbox",="Security Technologies",="1998",="11-50",="Acquired",
="liveAtip",="https://finder.startupnationcentral.org/company_page/liveatip",="Online Health Platform",="Life Sciences & HealthTech",="2018",="1-10",="Pre-Funding",
="Beewizer",="https://finder.startupnationcentral.org/company_page/medwizer",="Smart Debt Collection Accelerator for Enterprises",="FinTech",="2018",="1-10",="Pre-Funding",
="GGTUDE",="https://finder.startupnationcentral.org/company_page/gg-apps",="Digital Mental-health Solutions",="Life Sciences & HealthTech",="2019",="1-10",="Pre-Seed",
="Fullest",="https://finder.startupnationcentral.org/company_page/fullest",="Mobile Platform for Creating a Meaningful Life",="Life Sciences & HealthTech",="2018",="1-10",="Pre-Funding",
="SafeMode Mobility",="https://finder.startupnationcentral.org/company_page/safemode-mobility",="Incentive Platform for the Transportation Industry",="Smart Mobility",="2017",="11-50",="Seed",
="Innovative Assessments",="https://finder.startupnationcentral.org/company_page/innovative-assessments",="Psychometric Credit Scoring",="FinTech",="2015",="1-10",="Pre-Funding",
