Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
="Thermanostics",="https://finder.startupnationcentral.org/company_page/thermanostics",="AI-powered Thermal Imaging Device for Patient Screening",="Life Sciences & HealthTech",="2020",="1-10",="Pre-Funding",
="Elixie",="https://finder.startupnationcentral.org/company_page/elixie-1",="Nano-Tech Cannabinoid pharmaceuticals",="Life Sciences & HealthTech",="2019",="1-10",="Seed",
="Polyn Technology",="https://finder.startupnationcentral.org/company_page/polyn-technology",="Neuromorphic Analog Signal Processing",="Industrial Technologies",="2019",="11-50",="A",
="Actics Medical",="https://finder.startupnationcentral.org/company_page/actics-medical",="Digitizing the Future of Foot Therapy",="Life Sciences & HealthTech",="2020",="1-10",="Pre-Seed",
="Usearch",="https://finder.startupnationcentral.org/company_page/contextualweb",="Online Search Engine Based on Synthetic Data","Enterprise, IT & Data Infrastructure",="2018",="1-10",="Pre-Funding",
="Magnilearn",="https://finder.startupnationcentral.org/company_page/magnilearn",="Lifelong Accelerated Learning",="Content & Media",="2019",="11-50",="Seed",
="CANNDOC Pharma",="https://finder.startupnationcentral.org/company_page/canndoc",="Pharma-grade Cannabis Products",="Life Sciences & HealthTech",="2008",="11-50",="Acquired",
="Exegiline Pharma",="https://finder.startupnationcentral.org/company_page/exegiline",="Multifactorial Treatment of Alzheimer's Disease",="Life Sciences & HealthTech",="2020",="1-10",="Pre-Funding",
="CVAid Medical",="https://finder.startupnationcentral.org/company_page/cvaid-medical",="AI-based Stroke Disease Management Platform",="Life Sciences & HealthTech",="2018",="11-50",="A",
="Immunai",="https://finder.startupnationcentral.org/company_page/immunai",="Peripheral Tissue Analysis",="Life Sciences & HealthTech",="2019",="51-200",="B",
="Skelable",="https://finder.startupnationcentral.org/company_page/skelable",="Wearable Device for Rehabilitation",="Life Sciences & HealthTech",="2018",="1-10",="Seed",
="Cannamore Biotechs",="https://finder.startupnationcentral.org/company_page/cannamore-biotechs",="Cannabis-based Treatment Solutions",="Life Sciences & HealthTech",="2018",="1-10",="Pre-Funding",
="Re:pair",="https://finder.startupnationcentral.org/company_page/re-pair",="Hydrogel-based Platforms for Tissue Engineering",="Life Sciences & HealthTech",="2019",="1-10",="Pre-Funding",
="aNeuSTART",="https://finder.startupnationcentral.org/company_page/aneustart",="At-home Diagnostic Kit for Children with Autism Spectrum Disorder",="Life Sciences & HealthTech",="2018",="1-10",="Pre-Funding",
="Matricelf",="https://finder.startupnationcentral.org/company_page/matricelf",="Personalized Platform for Autologous Regenerative Medicine",="Life Sciences & HealthTech",="2019",="11-50",="Public",
="Qrons",="https://finder.startupnationcentral.org/company_page/qrons",="Advanced Stem-cell-based Solutions for Neuronal Injuries",="Life Sciences & HealthTech",="2016",="1-10",="Public",
="RetiSpec",="https://finder.startupnationcentral.org/company_page/retispec",="Noninvasive Eye Scan to Detect Alzheimer's Disease",="Life Sciences & HealthTech",="2016",="11-50",="A",
="CogAid",="https://finder.startupnationcentral.org/company_page/cogaid",="Assistive Tools for Workers with Cognitive Disabilities",="Life Sciences & HealthTech",="2015",="1-10",="Pre-Funding",
="MyndYou",="https://finder.startupnationcentral.org/company_page/myndyou",="AI-powered Virtual Care Assistant",="Life Sciences & HealthTech",="2016",="11-50",="A",
="NRx Pharmaceuticals",="https://finder.startupnationcentral.org/company_page/nrx-pharmaceuticals",="Medicines for Life-threatening CNS Diseases",="Life Sciences & HealthTech",="2014",="11-50",="Public",
="Aidoc",="https://finder.startupnationcentral.org/company_page/tailormed",="Empowering Physicians to Improve Patient Outcomes with AI",="Life Sciences & HealthTech",="2016",="201-500",="D",
="Myndlift",="https://finder.startupnationcentral.org/company_page/myndlift",="Accessible Home Neurofeedback Platform",="Life Sciences & HealthTech",="2014",="11-50",="Seed",
="Umoove",="https://finder.startupnationcentral.org/company_page/umoove",="Face and Eye Tracking Technology",="Life Sciences & HealthTech",="2012",="1-10",="Mature",
="Medoc",="https://finder.startupnationcentral.org/company_page/medoc",="Pain Assessment and Monitoring Systems",="Life Sciences & HealthTech",="1990",="51-200",="Mature",
="Kadimastem",="https://finder.startupnationcentral.org/company_page/kadimastem",="Stem Cell Therapeutics for Diabetes and ALS",="Life Sciences & HealthTech",="2008",="11-50",="Public",
="BioXtreme",="https://finder.startupnationcentral.org/company_page/bioxtreme",="Stroke Rehabilitation Robotics",="Life Sciences & HealthTech",="2010",="1-10",="Seed",
="Univo Pharmaceuticals",="https://finder.startupnationcentral.org/company_page/d-pharm",="Medical Cannabis Products",="Life Sciences & HealthTech",="1993",="11-50",="Public",
="Saliwell",="https://finder.startupnationcentral.org/company_page/saliwell",="Electro-stimulation of Saliva Production",="Life Sciences & HealthTech",="2003",="1-10",="Mature",
="VitalGo Systems",="https://finder.startupnationcentral.org/company_page/vitalgo-systems",="Early Mobility Hospital Beds and Home Products",="Life Sciences & HealthTech",="2007",="1-10",="Mature",
="Mapi Pharma",="https://finder.startupnationcentral.org/company_page/mapi-pharma",="Lifecycle Management for Pharmaceuticals",="Life Sciences & HealthTech",="2008",="11-50",="A",
="Microbot Medical",="https://finder.startupnationcentral.org/company_page/microbot-medical",="Robotics-assisted Medical Technologies",="Life Sciences & HealthTech",="2010",="11-50",="Public",
="Teva Pharmaceuticals",="https://finder.startupnationcentral.org/company_page/teva",="Generic and Specialty Pharmaceuticals",="Life Sciences & HealthTech",="1901",="500+",="Public",
="Novaremed",="https://finder.startupnationcentral.org/company_page/novaremed",="Medication for Chronic Neuropathic Pain",="Life Sciences & HealthTech",="2008",="1-10",="A",
="Rapid Medical",="https://finder.startupnationcentral.org/company_page/rapid-medical",="Neurovascular Devices",="Life Sciences & HealthTech",="2008",="51-200",="D",
="Perflow Medical",="https://finder.startupnationcentral.org/company_page/perflow-medical",="Medical Device to Control Neurovascular Disorders",="Life Sciences & HealthTech",="2010",="11-50",="Acquired",
